episode,step,seed,demand,credit,market_rate,rolling_accept,optimal_rate,p_accept_at_optimal,default_prob
0,0,10000,1,2,0.055501,0.5,0.0575,0.2642,0.5
0,1,10000,2,2,0.053602,1.0,0.059,0.298,0.5
0,2,10000,0,2,0.053468,0.5,0.0565,0.228,0.5
0,3,10000,0,2,0.054329,0.3333,0.0565,0.228,0.5
0,4,10000,0,2,0.052444,0.25,0.0565,0.228,0.5
0,5,10000,2,2,0.049547,0.4,0.059,0.298,0.5
0,6,10000,1,2,0.045162,0.5,0.0575,0.2642,0.5
0,7,10000,1,2,0.045669,0.4286,0.0575,0.2642,0.5
0,8,10000,1,2,0.045304,0.5,0.0575,0.2642,0.5
0,9,10000,1,2,0.045516,0.5556,0.0575,0.2642,0.5
0,10,10000,1,1,0.047117,0.5,0.0575,0.1788,0.8808
0,11,10000,0,2,0.046871,0.5455,0.0565,0.228,0.5
0,12,10000,2,1,0.047669,0.5,0.0585,0.2092,0.8808
0,13,10000,1,2,0.046693,0.4615,0.0575,0.2642,0.5
0,14,10000,2,2,0.046883,0.4286,0.059,0.298,0.5
0,15,10000,1,2,0.047634,0.4,0.0575,0.2642,0.5
0,16,10000,2,1,0.047517,0.375,0.0585,0.2092,0.8808
0,17,10000,1,2,0.049065,0.3529,0.0575,0.2642,0.5
0,18,10000,2,1,0.047994,0.3889,0.0585,0.2092,0.8808
0,19,10000,1,2,0.048162,0.3684,0.0575,0.2642,0.5
0,20,10000,2,1,0.049671,0.35,0.0585,0.2092,0.8808
0,21,10000,1,2,0.050862,0.3333,0.0575,0.2642,0.5
0,22,10000,2,3,0.050721,0.3182,0.0605,0.3919,0.1192
0,23,10000,1,2,0.051354,0.3043,0.0575,0.2642,0.5
0,24,10000,0,2,0.053728,0.2917,0.0565,0.228,0.5
0,25,10000,1,2,0.04953,0.28,0.0575,0.2642,0.5
0,26,10000,1,2,0.049859,0.3077,0.0575,0.2642,0.5
0,27,10000,0,3,0.050748,0.2963,0.0575,0.3155,0.1192
0,28,10000,2,2,0.054088,0.2857,0.059,0.298,0.5
0,29,10000,2,1,0.052258,0.2759,0.0585,0.2092,0.8808
0,30,10000,0,3,0.050041,0.2667,0.0575,0.3155,0.1192
0,31,10000,2,1,0.048018,0.2903,0.0585,0.2092,0.8808
0,32,10000,0,1,0.051233,0.2812,0.0565,0.1519,0.8808
0,33,10000,0,2,0.048587,0.2727,0.0565,0.228,0.5
0,34,10000,2,2,0.046652,0.2647,0.059,0.298,0.5
0,35,10000,1,1,0.046199,0.2857,0.0575,0.1788,0.8808
0,36,10000,2,3,0.044832,0.3056,0.0605,0.3919,0.1192
0,37,10000,1,3,0.047284,0.2973,0.059,0.3527,0.1192
0,38,10000,1,3,0.050192,0.2895,0.059,0.3527,0.1192
0,39,10000,2,3,0.050637,0.2821,0.0605,0.3919,0.1192
0,40,10000,1,2,0.05344,0.3,0.0575,0.2642,0.5
0,41,10000,1,1,0.052763,0.2927,0.0575,0.1788,0.8808
0,42,10000,2,1,0.053625,0.2857,0.0585,0.2092,0.8808
0,43,10000,2,1,0.053386,0.2791,0.0585,0.2092,0.8808
0,44,10000,0,3,0.054654,0.2955,0.0575,0.3155,0.1192
0,45,10000,0,1,0.056259,0.2889,0.0565,0.1519,0.8808
0,46,10000,2,2,0.052129,0.2826,0.059,0.298,0.5
0,47,10000,1,2,0.052978,0.2979,0.0575,0.2642,0.5
0,48,10000,1,3,0.052803,0.2917,0.059,0.3527,0.1192
0,49,10000,1,2,0.052917,0.2857,0.0575,0.2642,0.5
0,50,10000,2,2,0.054808,0.28,0.059,0.298,0.5
0,51,10000,2,3,0.055834,0.26,0.0605,0.3919,0.1192
0,52,10000,0,2,0.055219,0.28,0.0565,0.228,0.5
0,53,10000,1,2,0.055936,0.28,0.0575,0.2642,0.5
0,54,10000,1,3,0.057261,0.28,0.059,0.3527,0.1192
0,55,10000,0,2,0.056232,0.26,0.0565,0.228,0.5
0,56,10000,1,2,0.055298,0.24,0.0575,0.2642,0.5
0,57,10000,2,2,0.054353,0.24,0.059,0.298,0.5
0,58,10000,1,3,0.054845,0.24,0.059,0.3527,0.1192
0,59,10000,1,2,0.053779,0.22,0.0575,0.2642,0.5
0,60,10000,2,1,0.051998,0.24,0.0585,0.2092,0.8808
0,61,10000,0,2,0.051388,0.22,0.0565,0.228,0.5
0,62,10000,0,2,0.051687,0.22,0.0565,0.228,0.5
0,63,10000,1,1,0.051586,0.22,0.0575,0.1788,0.8808
0,64,10000,1,2,0.05266,0.22,0.0575,0.2642,0.5
0,65,10000,1,2,0.051836,0.22,0.0575,0.2642,0.5
0,66,10000,1,2,0.052273,0.22,0.0575,0.2642,0.5
0,67,10000,1,2,0.051803,0.22,0.0575,0.2642,0.5
0,68,10000,0,2,0.051888,0.2,0.0565,0.228,0.5
0,69,10000,1,2,0.050686,0.2,0.0575,0.2642,0.5
0,70,10000,0,3,0.051086,0.22,0.0575,0.3155,0.1192
0,71,10000,0,1,0.050486,0.24,0.0565,0.1519,0.8808
0,72,10000,1,1,0.051526,0.26,0.0575,0.1788,0.8808
0,73,10000,1,1,0.049788,0.26,0.0575,0.1788,0.8808
0,74,10000,2,2,0.045648,0.26,0.059,0.298,0.5
0,75,10000,0,2,0.044911,0.28,0.0565,0.228,0.5
0,76,10000,0,2,0.045741,0.26,0.0565,0.228,0.5
0,77,10000,2,3,0.046569,0.26,0.0605,0.3919,0.1192
0,78,10000,2,1,0.047332,0.26,0.0585,0.2092,0.8808
0,79,10000,1,1,0.044472,0.26,0.0575,0.1788,0.8808
0,80,10000,1,2,0.043797,0.26,0.0575,0.2642,0.5
0,81,10000,1,3,0.042795,0.24,0.059,0.3527,0.1192
0,82,10000,1,2,0.045585,0.24,0.0575,0.2642,0.5
0,83,10000,0,1,0.047864,0.24,0.0565,0.1519,0.8808
0,84,10000,1,1,0.046681,0.24,0.0575,0.1788,0.8808
0,85,10000,0,2,0.047561,0.22,0.0565,0.228,0.5
0,86,10000,2,3,0.0492,0.2,0.0605,0.3919,0.1192
0,87,10000,0,2,0.048901,0.2,0.0565,0.228,0.5
0,88,10000,1,2,0.046657,0.2,0.0575,0.2642,0.5
0,89,10000,0,2,0.048799,0.22,0.0565,0.228,0.5
0,90,10000,1,1,0.048998,0.2,0.0575,0.1788,0.8808
