episode,step,seed,demand,credit,market_rate,rolling_accept,optimal_rate,p_accept_at_optimal,default_prob
0,0,10000,1,2,0.055501,0.5,0.0575,0.2642,0.5
0,1,10000,2,2,0.053602,1.0,0.059,0.298,0.5
0,2,10000,0,2,0.053468,0.5,0.0565,0.228,0.5
0,3,10000,0,2,0.054329,0.3333,0.0565,0.228,0.5
0,4,10000,0,2,0.052444,0.25,0.0565,0.228,0.5
0,5,10000,2,2,0.049547,0.4,0.059,0.298,0.5
0,6,10000,1,2,0.045162,0.5,0.0575,0.2642,0.5
0,7,10000,1,2,0.045669,0.4286,0.0575,0.2642,0.5
0,8,10000,1,2,0.045304,0.5,0.0575,0.2642,0.5
0,9,10000,1,2,0.045516,0.5556,0.0575,0.2642,0.5
0,10,10000,1,1,0.047117,0.5,0.0575,0.1788,0.8808
0,11,10000,0,2,0.046871,0.5455,0.0565,0.228,0.5
0,12,10000,2,1,0.047669,0.5,0.0585,0.2092,0.8808
0,13,10000,1,2,0.046693,0.4615,0.0575,0.2642,0.5
0,14,10000,2,2,0.046883,0.4286,0.059,0.298,0.5
0,15,10000,1,2,0.047634,0.4,0.0575,0.2642,0.5
0,16,10000,2,1,0.047517,0.375,0.0585,0.2092,0.8808
0,17,10000,1,2,0.049065,0.3529,0.0575,0.2642,0.5
0,18,10000,2,1,0.047994,0.3889,0.0585,0.2092,0.8808
0,19,10000,1,2,0.048162,0.3684,0.0575,0.2642,0.5
0,20,10000,2,1,0.049671,0.35,0.0585,0.2092,0.8808
0,21,10000,1,2,0.050862,0.3333,0.0575,0.2642,0.5
0,22,10000,2,3,0.050721,0.3182,0.0605,0.3919,0.1192
0,23,10000,1,2,0.051354,0.3043,0.0575,0.2642,0.5
0,24,10000,0,2,0.053728,0.2917,0.0565,0.228,0.5
0,25,10000,1,2,0.04953,0.28,0.0575,0.2642,0.5
0,26,10000,1,2,0.049859,0.3077,0.0575,0.2642,0.5
0,27,10000,0,3,0.050748,0.2963,0.0575,0.3155,0.1192
0,28,10000,2,2,0.054088,0.2857,0.059,0.298,0.5
0,29,10000,2,1,0.052258,0.2759,0.0585,0.2092,0.8808
1,0,10001,1,2,0.061444,0.5,0.0575,0.2642,0.5
1,1,10001,0,1,0.059354,0.0,0.0565,0.1519,0.8808
1,2,10001,2,3,0.059205,0.0,0.0605,0.3919,0.1192
1,3,10001,2,2,0.057611,0.0,0.059,0.298,0.5
1,4,10001,1,2,0.057073,0.25,0.0575,0.2642,0.5
1,5,10001,1,2,0.05352,0.2,0.0575,0.2642,0.5
1,6,10001,2,2,0.053515,0.3333,0.059,0.298,0.5
1,7,10001,0,2,0.051061,0.2857,0.0565,0.228,0.5
1,8,10001,1,2,0.053141,0.25,0.0575,0.2642,0.5
1,9,10001,1,3,0.052848,0.2222,0.059,0.3527,0.1192
1,10,10001,2,1,0.047543,0.2,0.0585,0.2092,0.8808
1,11,10001,1,3,0.049218,0.2727,0.059,0.3527,0.1192
1,12,10001,2,1,0.05114,0.25,0.0585,0.2092,0.8808
1,13,10001,2,1,0.05051,0.3077,0.0585,0.2092,0.8808
1,14,10001,1,2,0.049842,0.2857,0.0575,0.2642,0.5
1,15,10001,1,2,0.051221,0.2667,0.0575,0.2642,0.5
1,16,10001,2,1,0.053748,0.25,0.0585,0.2092,0.8808
1,17,10001,0,3,0.055434,0.2353,0.0575,0.3155,0.1192
1,18,10001,2,2,0.054134,0.2222,0.059,0.298,0.5
1,19,10001,2,3,0.055876,0.2632,0.0605,0.3919,0.1192
1,20,10001,1,1,0.056769,0.25,0.0575,0.1788,0.8808
1,21,10001,1,1,0.055907,0.2857,0.0575,0.1788,0.8808
1,22,10001,2,3,0.058393,0.2727,0.0605,0.3919,0.1192
1,23,10001,2,2,0.058292,0.3043,0.059,0.298,0.5
1,24,10001,0,2,0.058215,0.3333,0.0565,0.228,0.5
1,25,10001,0,2,0.057832,0.32,0.0565,0.228,0.5
1,26,10001,0,3,0.057696,0.3077,0.0575,0.3155,0.1192
1,27,10001,2,2,0.059654,0.2963,0.059,0.298,0.5
1,28,10001,2,3,0.058019,0.2857,0.0605,0.3919,0.1192
1,29,10001,1,2,0.054763,0.2759,0.0575,0.2642,0.5
2,0,10002,0,2,0.059056,0.5,0.0565,0.228,0.5
2,1,10002,2,2,0.058249,1.0,0.059,0.298,0.5
2,2,10002,2,3,0.057197,0.5,0.0605,0.3919,0.1192
2,3,10002,2,2,0.057959,0.3333,0.059,0.298,0.5
2,4,10002,0,2,0.058926,0.5,0.0565,0.228,0.5
2,5,10002,2,2,0.057484,0.4,0.059,0.298,0.5
2,6,10002,2,3,0.055483,0.3333,0.0605,0.3919,0.1192
2,7,10002,1,2,0.058263,0.4286,0.0575,0.2642,0.5
2,8,10002,2,3,0.057026,0.375,0.0605,0.3919,0.1192
2,9,10002,1,2,0.05686,0.3333,0.0575,0.2642,0.5
2,10,10002,0,2,0.056459,0.4,0.0565,0.228,0.5
2,11,10002,1,3,0.057452,0.4545,0.059,0.3527,0.1192
2,12,10002,1,3,0.061076,0.5,0.059,0.3527,0.1192
2,13,10002,1,2,0.062271,0.4615,0.0575,0.2642,0.5
2,14,10002,2,2,0.064217,0.5,0.059,0.298,0.5
2,15,10002,2,2,0.066556,0.4667,0.059,0.298,0.5
2,16,10002,0,2,0.067398,0.4375,0.0565,0.228,0.5
2,17,10002,0,2,0.067734,0.4118,0.0565,0.228,0.5
2,18,10002,0,2,0.069576,0.3889,0.0565,0.228,0.5
2,19,10002,0,2,0.068262,0.3684,0.0565,0.228,0.5
2,20,10002,2,2,0.068358,0.35,0.059,0.298,0.5
2,21,10002,0,2,0.067509,0.3333,0.0565,0.228,0.5
2,22,10002,0,2,0.066267,0.3182,0.0565,0.228,0.5
2,23,10002,0,1,0.067452,0.3043,0.0565,0.1519,0.8808
2,24,10002,0,3,0.063727,0.2917,0.0575,0.3155,0.1192
2,25,10002,0,1,0.062562,0.32,0.0565,0.1519,0.8808
2,26,10002,1,2,0.063609,0.3077,0.0575,0.2642,0.5
2,27,10002,1,2,0.062186,0.2963,0.0575,0.2642,0.5
2,28,10002,1,1,0.06064,0.2857,0.0575,0.1788,0.8808
2,29,10002,0,2,0.05872,0.2759,0.0565,0.228,0.5
3,0,10003,2,3,0.060645,0.5,0.0605,0.3919,0.1192
